                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6891,                 3.0288,                 5.2195,                 1.2477,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.395,                  3.348,                 5.7786,                 2.3189,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.6582,                 2.9711,                 5.0864,                 1.2783,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5952,                 2.2154,                  5.356,                 1.8829,               0.086426,              0.0014257,              0.0014257
                      2,                 1.2756,                 2.0113,                 3.7907,                 1.1268,                0.00043,                0.07917,                0.00226,                0.00071,                0.00043,                0.07917,                0.00213,                0.00085,                 2.1574,                  1.932,                  5.165,                 1.7163,               0.079072,              0.0020723,              0.0020723
                      3,                0.97908,                 1.4304,                 3.1977,                0.99422,                 0.2003,                  0.125,                0.17146,                0.12583,                 0.2003,                  0.125,                0.17174,                 0.1352,                  1.748,                 1.6282,                 4.7122,                  1.523,                0.07164,              0.0026396,              0.0026396
                      4,                0.82906,                 1.1025,                 2.8605,                0.94995,                0.72093,                  0.125,                0.12879,                0.09021,                0.72093,                  0.125,                0.13554,                 0.1149,                 1.7804,                   1.79,                 4.5865,                 1.5051,               0.064128,              0.0031278,              0.0031278
                      5,                0.75922,                 1.0808,                 2.3899,                0.90631,                0.98074,                  0.125,                0.12774,                0.10128,                0.98074,                  0.125,                0.12774,                0.11377,                 2.3311,                 2.3844,                 4.5112,                 1.7683,               0.056537,              0.0035367,              0.0035367
                      6,                0.67951,                 1.0288,                 2.0506,                  0.902,                0.95032,                0.15625,                0.17469,                0.11683,                0.95032,                0.15625,                 0.1765,                0.12273,                 2.0072,                 1.7809,                 3.8094,                 1.5875,               0.048867,              0.0038665,              0.0038665
                      7,                0.73275,                 1.0443,                 2.1051,                0.86519,                0.97365,                0.18565,                0.24904,                0.18485,                0.97365,                0.18565,                0.24894,                0.17118,                 1.5778,                 1.4346,                 3.3649,                 1.3246,               0.041117,              0.0041171,              0.0041171
                      8,                0.72653,                 1.0431,                 2.1503,                0.89618,                0.61384,                 0.1875,                0.23051,                0.17232,                0.61384,                 0.1875,                0.23051,                0.14222,                 1.9088,                 1.6013,                 3.4285,                 1.4692,               0.033288,              0.0042884,              0.0042884
                      9,                0.66763,                0.77988,                 1.5563,                0.84583,                0.21694,                0.20417,                0.26247,                0.18365,                0.21694,                0.20417,                0.26247,                0.14317,                 1.5471,                 1.4627,                 3.4718,                 1.3184,               0.025381,              0.0043806,              0.0043806
                     10,                 0.6839,                0.91043,                 1.7159,                0.89527,                0.53478,                 0.1875,                0.18974,                0.14712,                0.53478,                 0.1875,                0.18974,                0.14886,                 1.3774,                 1.5326,                 3.7337,                  1.234,               0.017394,              0.0043935,              0.0043935
                     11,                0.66884,                0.98178,                 1.5404,                0.86465,                0.95385,                 0.1875,                0.21406,                0.15041,                0.95385,                 0.1875,                0.21406,                0.15116,                 1.5418,                 1.6111,                 3.5303,                 1.2601,              0.0093273,              0.0043273,              0.0043273
                     12,                0.69232,                0.92517,                 1.3625,                0.87339,                0.88128,                0.21722,                0.34659,                0.24948,                0.88128,                0.21722,                0.34659,                0.21323,                 1.2677,                 1.5253,                   3.05,                 1.1953,                0.00406,                0.00406,                0.00406
                     13,                0.63965,                 0.8827,                 1.3235,                0.85621,                0.57857,                0.33271,                0.31271,                0.23563,                0.57857,                0.33271,                0.31271,                0.21727,                 1.1213,                 1.3212,                 2.7217,                 1.1066,                0.00406,                0.00406,                0.00406
                     14,                0.62721,                0.91354,                 1.0681,                0.87393,                 0.9305,                   0.25,                0.39703,                  0.303,                 0.9305,                   0.25,                0.39703,                0.23353,                 1.1657,                 1.3833,                 2.8643,                 1.1074,               0.003565,               0.003565,               0.003565
                     15,                0.62403,                0.89074,                 1.0601,                0.85896,                0.95418,                   0.25,                0.33793,                0.26112,                0.95418,                   0.25,                0.33555,                0.21429,                 1.1733,                 1.2586,                 2.8319,                 1.1205,                0.00307,                0.00307,                0.00307
                     16,                0.57993,                 0.6656,                0.97759,                0.83233,                0.49995,                0.29089,                0.41241,                0.31851,                0.49995,                0.29089,                0.41241,                0.28226,                 1.1344,                  1.348,                 2.6748,                 1.1011,               0.002575,               0.002575,               0.002575
                     17,                 0.5809,                0.94586,                0.80036,                0.83332,                 0.4985,                0.41183,                0.45477,                 0.3496,                 0.4985,                0.41183,                0.45477,                0.31153,                 1.1587,                 1.4096,                 2.8309,                 1.1227,                0.00208,                0.00208,                0.00208
                     18,                0.57105,                0.75687,                0.78175,                0.83962,                0.86372,                0.26667,                0.32368,                0.25758,                0.86372,                0.26667,                0.32435,                 0.2242,                  1.291,                 1.4667,                 3.1319,                  1.201,               0.001585,               0.001585,               0.001585
                     19,                0.54193,                0.79071,                0.72915,                 0.8462,                0.64464,                0.26654,                0.33421,                0.25558,                0.64464,                0.26654,                0.33737,                  0.235,                 1.3123,                 1.4881,                 3.1367,                 1.2255,                0.00109,                0.00109,                0.00109
